CASO	DATA CONTATO	data_do_pedido	SOLICITAÇÃO	DATA RESPOSTA	data_da_resposta	RESPOSTA	ANEXOS
14	03/09/2012	03/09/2012	Gostaria de saber como faço para saber o status da tramitação de projetos da Câmara. Por exemplo, filtrei por vereador, foram listados os projetos, mas não informa se foi aprovado, rejeitado ou qual o status atual de cada projeto de lei. http://www.cms.ba.gov.br/projeto.aspx?id_vereador=61 . Como cidadão, gostaria de saber se o parlamentar que votei está tendo produção adequada e se seus projetos são aprovados ou não. Gostaria de saber como faço para saber como um determinado parlamentar votou em determinado projeto, para saber as posições que o mesmo têm em relação a diferentes temas. Aguardando orientação de como conseguir essa informação.	12/09/2012	12/09/2012	"Em resposta a sua solicitação de informação seguem as seguintes orientações:
 1. Para saber mais detalhes sobre a tramitação de projetos ou outras proposições dos vereadores, caso não encontre todas as informações no portal da Câmara, procure Dalmo Lopes, Chefe do Setor de Tramitação da Câmara, tel: 3320-0233 ou por e-mail dalmo.lopes@cms.ba.gov.br. Ele poderá complementar as informações que voce precisa.
 2. Conforme prevê o Regimento Interno da Câmara (voce pode consultá-lo no portal www.cms.ba.gov.br) o processo de votação em Plenário não é nominal, ou seja não é possível identificar o voto dos vereadores, exceto quando eles solicitam para que conste em ata da sessão o seu posicionamento.
 3. Voce pode acompanhar as sessões da Câmara que acontecem às segundas, terças e quartas (esta última específica de votação de projetos) pela TV Câmara, através do portal. Além disso, poderá comparecer pessoalmente às galerias do Plenário Cosme de Farias, para presenciar as sessões que são abertas ao público.
 Parabéns pelo seu interesse em acompanhar de perto a atuação dos vereadores, que exercem uma importante função no sistema democrático e na vida de nossa cidade. É um direito de cidadania estar atento e bem informado sobre a atuação do Legislativo.
 Estamos à disposição aqui na Ouvidoria para qualquer atendimento presencial, por telefone ou por e-mail, esclarecendo dúvidas e fortalecendo a sua participação cidadã.
 Endereço: Centro de Cultura (próximo ao Elevador Lacerda), na Praça Municipal."	
15	04/10/2012	04/10/2012	Regulamentação dos artigos 5º e 7º da Lei nº 5.503 de 17/02/1999 (Código Municipal de Policia Administrativa). Decreto nº 12.642/2000 de 28/04/2000	05/10/2012 (e-mail)	05/10/2012	Solicitação atendida pelo Setor de Tramitação.	
16	03/10/2012	03/10/2012	Cópia da integra de uma relação com aproximadamente 30 proposições, relacionadas com agências bancárias e respectivas tramitações.	05/10/2012 (e-mail)	05/10/2012	Solicitação atendida pelo Setor de Tramitação.	
17	08/10/2012	08/10/2012	Gostaria de saber a percentagem da verba municipal utilizada na veiculação de propaganda do município.	10/10/2012 (e-mail)	10/10/2012	Acusamos o recebimento da sua demanda e após ser feita pesquisa nos setores competentes, informamos que não há previsão legal que determine o limite de verba utilizada para a veiculação de propaganda municipal. Dessa forma sendo ato a cargo do gestor.	
18	10/10/2012	10/10/2012	Dias de feriados na Bahia/Salvador.	-		Não localizada	
19	30/10/2012	30/10/2012	Projeto de lei 255/2012	31/10/2012 (e-mail)	31/10/2012	Conforme solicitado, segue projeto de lei que fixa subsídio de vereadores, prefeito, vice-prefeito e secretários municipais. Trata-se do Projeto de Lei 255/2012, que aguarda sanção do prefeito de Salvador.	Anexo 7
20	16/01/2013	16/01/2013	Legislação relacionada a isenção de IPTU a pessoas portadoras de doenças crônicas / degenerativas	18/1/2013 (presencial)	18/01/2013	Anexo 8	
21	21/01/2013	21/01/2013	Lei que estabelece os requisitos para a concessão do título de utilidade pública municipal.	24/1/2013 (presencial)	24/01/2013	Entrega do documento presencialmente	
22	26/02/2013	26/02/2013	Acesso ao Plano de Classificação de Documentos e à Tabela de Temporalidade e Destinação de Documentos	02/04/2013 (email)	02/04/2013	"Recebemos hoje (02.04.13) o despacho da Diretoria Administrativa (Dirad) da Câmara, após parecer da PROJUR, em reposta à sua solicitação, que comunica que ""os servidores ocupantes de cargos comissionados CC10 não percebem o Acréscimo Salarial - AS. Já em relação aos cargos comissionados CC20 a CC80, alguns servidores o percebem em percentual variável de 50% (cinquenta por cento) a 100% (cem por cento), de acordo com a legislação e os respectivos atos que disciplinam o Acréscimo Salarial - AS, no âmbito do ordenamento jurídico desta Edilidade"" (sic)."	
23	02/04/2013	02/04/2013	Acesso a diversos dados de despesa relacionadas ao exercício 2009, 2010, 2011, 2012 e 2013	08/05/2013	08/05/2013	Segue, em anexo, despacho expedido pela Diretoria Administrativa (DIRAD) desta Casa com a resposta relativa aos quesitos ainda não respondidos da sua solicitação de informações. Informamos que recebemos o referido documento da DIRAD no dia 08.05.2013 e que, devido a um problema no scanner, somente hoje conseguimos encaminhar o documento.	Anexo 9
24	08/04/2013	08/04/2013	Acesso ao Plano de Classificação de Documentos e à Tabela de Temporalidade e Destinação de Documentos	09.04.2013	09/04/2013	Em resposta a sua solicitação de informação sobre os documentos disponíveis na Câmara Municipal de Salvador, após pesquisa interna junto ao setor responsável, segue o seguinte esclarecimento: A empresa Phases Arquivos finalizou tais instrumentos, porém, a nossa Tabela de Temporalidade e o nosso Plano de Classificação ainda não foram aprovados em Plenário, por isso, por enquanto não dispomos desses instrumentos de pesquisa na Câmara.	
25	25/06/2013	25/06/2013	Acesso aos 374 projetos aprovados na sessão de 18/06	04/07/2013	04/07/2013	Em atenção à Solicitação de Informação registrada nesta Ouvidoria sob o Codigo de Registro n° 282/2013 segue em anexo arquivo em PDF contendo a Ordem do Dia 18/06/2013 com todos os projetos aprovados nesta data.	Anexo 10
26	23/10/2013	23/10/2013	Acesso ao parecer prévio do TCM-BA, referente às contas da Prefeitura Municipal de Salvador relativas aos exercícios financeiros de 2009, 2010 e 2011	24/10/2013	24/10/2013	Seguem, em anexo, os pareceres do TCM de 2009 e 2011. Todos os pareceres prévios do TCM sobre as contas da Prefeitura Municipal estão no site www.tcm.ba.gov.br/tcm/contas.shtml. Vamos providenciar atualizar estes arquivos no portal da CMS.	Anexo 11
27	03/12/2013	03/12/2013	Acesso aos gastos de cada vereador durante o ano de 2013	-	-	Não localizada	
28	17/03/2014	17/03/2014	Acesso às mensagens, atas de discussão, justificativas, Projetos de Lei e/ou outros documentos prévios que deram origem às seguintes Leis de Desafetação de Áreas públicas Municipais: 3.114 de 23 de outubro de 1980, 3.458 de 19 de dezembro de 1984, 3.753 de 20 e 21 de julho de 1987, 3.860 de 28 e 29 de abril de 1988 , 3.887 de 21, 22 e 23 de junho de 1988, 3.954 de 8 e 9 de dezembro de 1988, 4.066 de 14 e 15 de dezembro de 1989, 4.107 de 29 de junho de 1990, 4.375 de 20 e 21 de agosto de 1991, 4.480 de 9 e 10 de janeiro de 1992, 4.588 (data de publicação no DOL desconhecida), 5.603 de 20 de setembro de 1999, 5.604 de 27 de setembro de 1999, 5.698 de 28 de janeiro de 2000, 6.038 de 03 de dezembro de 2001	09/04/2014	09/04/2014	Contato com a cidadã a mesma informou que consegui acessar as informações e finalizar a pesquisa	
29	01/04/2014	01/04/2014	Acesso a documento que comprova a utilidade pública da Associação dos Moradores e Amigos da Lagoa da Cocisa e adjacências, localizada no bairro de Paripe.	03/04/2014	03/04/2014	Setor de Arquivo CMS orientou o cidadão a pesquisar no DOM a publicação do documento assinado pelo ex-prefeito João Henrique.	
30	03/04/2014	03/04/2014	"Acesso à lista de assessores parlamentares, suas respectivas remunerações e gabinetes em que estão lotados; o valor da verba mensal destinada a cada gabinete e a listagem e descrição (com valores) de todos os auxílios recebidos por cada vereador."	-	-	Pedido encaminhado ao setor competente, sem retorno.	
31	09/05/2014	09/05/2014	Acesso à lista de ampla concorrência do concurso público 2011 da Câmara Municipal de Salvador atualizada em abril/14	12/05/2014	12/05/2014	Em atenção ao recebimento de sua solicitação de informação, geramos o registro de nº 519/2014. A lista de ampla concorrência já esta atualizada no Portal da Câmara, para o cargo de Assistente Legislativo - Assistência Legislativa o nome da Sra. encontrasse na 51º colocação, tendo como Status Cadastro de Reserva. Segue em anexo a lista de ampla concorrência do Concurso de 2011, disponível no http://www.cms.ba.gov.br/ . O cronograma de convocação será atualizado em breve.	Anexo 12
32	29/04/2014	29/04/2014	Acesso à lista do quadro efetivo da Casa	19/05/2014	19/05/2014	"O atendimento de Código 526/2014, foi registrado nesta Ouvidoria em 08/05/2014; Em atenção à este pedido de informação encaminhamos a Comunicação Interna para a DIRAD de número 055/2014 em 12/05/2014 que foi respondida através da CI 048/2014, recebida em 14/05/2014, segue em anexo a resposta encaminhada à esta Ouvidoria na íntegra conforme solicitação feita presencialmente em 09/05/2014 pela senhora."	Anexo 13
33	09/05/2014	09/05/2014	Acesso ao quadro atualizado de Ampla Concorrência referente ao Concurso Público ocorrido em 2011	12/05/2014	12/05/2014	"O atendimento de Código 524/2014, foi registrado nesta Ouvidoria em 29/04/2014; Em atenção à este pedido de informação encaminhamos a Comunicação Interna para a Coordenação de Recursos Humanos - CRH de número 052/2014 em 05/05/2014 que foi respondida através da CI 159/2014, recebida em 07/05/2014, segue em anexo a resposta encaminhada à esta Ouvidoria na íntegra conforme solicitação feita presencialmente em 09/05/2014 pela senhora."	Anexo14
34	20/05/2014	20/05/2014	Acesso à previsão de convocação e nomeação dos demais candidatos para os cargos de Assistente Legislativo: especialidade Assistência Legislativa.	22/05/2014	22/05/2014	"Em resposta ao seu questionamento referente ao Concurso Público 2011 da Câmara Municipal de Salvador, a Coordenação de Recursos Humanos desta Casa informa que ""para o cargo de Assistente Legislativo Municipal - Área de Qualificação: Assistência Legislativa foram disponibilizadas 24 (vinte e quatro) vagas para a Ampla Concorrência e as convocações já atingiram até a 34ª colocação. Informamos ainda que 16 (dezesseis) servidores estão em exercício nesse cargo, faltando preencher 8 (oito) vagas, entretanto as convocações foram suspensas até segunda ordem"" (sic)."	
35		15/04/2014	Acesso à quantidade de cargos de Procurador da Câmara Municipal de Salvador (total de cargos existentes), ou cargos correlatos (caso não exista cargo com essa denominação), sejam eles cargos efetivos, em comissão ou funções de confiança, bem como o instrumento legislativo responsável pela criação de tais cargos ou funções.	28/04/2014	28/04/2014	Este Caso foi respondido através da Procuradoria Jurídica, seguindo a esta Ouvidoria somente para registro.	
36	23/05/2014	23/05/2014	"Acesso a todos os projetos que foram aprovados na sessão ordinária do dia 21/05, aproximadamente 200 projetos, sendo cerca de 50 relacionados às questões de gênero; acesso aos números dos Pl’s."	04/06/2014	04/06/2014	Prezada, Boa Tarde Segue em anexo a resposta ao seu pedido de informação protocolado nesta Ouvidoria em 23/05/2014.	Anexo 15
37	17/07/2014	17/07/2014	Acesso à tabela de maturidade relativa aos servidores efetivos da CMS e quais as parcelas e seus respectivos valores que compõe a remuneração dos mesmos.	29/07/2014	29/07/2014	Cidadã solicitou, presencialmente, o encerramento do caso antes da chegada da resposta de seu pedido.	
38	17/07/2014	17/07/2014	Acesso à informação se os servidores efetivos egressos do último concurso (2011) participarão da avaliação da Gratificação por Avanço de Competência (GAC), processo este que já se encontra em andamento no momento.	29/07/2014	29/07/2014	"Em resposta ao seu pedido de informação, informamos que em 29/07/2014, a Coordenação de Recursos Humanos desta Casa Legislativa respondeu: ""que a servidora Catarina Queiroz e outros requerem através do processo nº 353/2014, Avaliação de Desempenho por Competência, tendo sido concedido pela PROJUR desta Casa Legislativa 'pela legalidade do pleito'. Portanto, o Setor de Treinamento e Assitência Social já está tomando as providências necessárias para realização da referida Avaliação"" (SIC)."	
39	30/09/2014	30/09/2014	"Acesso, em formato digital, a: Total de servidores concursados do quadro efetivo da Câmara de Vereadores; 2) Total de cargos comissionados da Câmara de Vereadores; 3) Total de cargos comissionados atrelados à estrutura dos gabinetes dos Senhores Vereadores; 4) Total de cargos comissionados do órgão que são exercidos por servidores efetivos do quadro da Câmara de Vereadores; 5) Total de pessoas que exercem cargos comissionados e que não possuem qualquer vínculo efetivo (não são concursados em outros órgãos) com a Administração Pública; 6) Total de terceirizados que atuam na Câmara de Vereadores; 7) Total de recursos gastos com a remuneração de servidores comissionados da Câmara de Vereadores, incluindo todos benefícios indiretos, como diárias, auxílio-refeição e auxílio-creche, nos anos de 2012 e 2013; 8) Total de recursos gastos com a remuneração de servidores, pelos mesmos critérios, dos servidores efetivos do órgão, nos períodos de 2012 e 2013; 9) Total de recursos empregados na contratação de terceirizados nos períodos de 2012 e 2013."	11/11/2014	11/11/2014	Anexo 16	
40	06/01/2015	06/01/2015	Acesso a toda a prestação de contas da Câmara de 2014 e todos os resultados de licitação do mesmo ano. As informações não estão disponíveis no site.	22/01/2015	22/01/2015	Em atenção ao recebimento de sua solicitação, geramos o registro de nº 02/2014. Conforme a Lei de Acesso à Informação Pública (Lei 12.527/2011), o prazo para resposta são de 20 dias, podendo ser prorrogado por mais 10 dias, recebemos sua solicitação em 06/01/2014. Disponibilizamos em anexo, os resultados dos processos licitatórios do ano de 2014, essas informações tiveram devida publicidade no DOL e podem ser consultadas observando o dia subsequente à data da homologação dos respectivos pareceres de homologação. As informações relacionadas à prestação de conta estão disponíveis no Portal Transparência. Lembramos que a Ouvidoria da Câmara Municipal também atende suas ligações através dos telefones 3320-0406 / 0438 / 0252 e ainda pode ser acessada através do site: http://www.cms.ba.gov.br/ouvidoria.aspx . Assegurar ao cidadão a oportunidade de participar da administração pública através da Ouvidoria é um dos compromissos da Câmara Municipal de Salvador. Com suas sugestões, reclamações, denúncias e elogios, estaremos construindo um relacionamento transparente, garantindo o fortalecimento da democracia e, acima de tudo, respeitando os seus direitos de cidadão.	Anexo 17
41	10/01/2015	10/01/2015	"Acesso as respostas para as seguintes perguntas: Nome dos prefeitos/prefeito da cidade entre 2009 e 2013; Das contas de governo – e não as de gestão - relativas aos exercícios de 2009 a 2013, quais foram apreciadas pela Câmara Municipal? Das contas de governo relativas aos exercícios de 2009 a 2013, quais foram aprovadas e/ou rejeitadas pela Casa Legislativa? Em relação às contas de governo exercícios de 2009 a 2013 do governo, o parecer-prévio do Tribunal de Contas encaminhava manifestação no sentido de contas regulares, regulares com ressalva ou irregulares? Peço a complementação das informações, para que fique claro: - Das contas de governo – e não as de gestão - relativas aos exercícios de 2009 a 2013, quais foram apreciadas pela Câmara Municipal? - Das contas de governo relativas aos exercícios de 2009 a 2013, quais foram aprovadas e/ou rejeitadas pela Casa Legislativa?"	29/01/2015	29/01/2015	Seguem as informações relativas ao seu pedido: a) Prefeitura de Salvador = Prefeito das Gestões 2005 - 2008 e 2009- 2012: João Henrique de Barradas Carneiro / Prefeito da Gestão 2013 - 2016: Antônio Carlos Magalhães Neto, b) De acordo com a Lei Orgânica do Município de Salvador, todas as contas (Prefeitura e Câmara) devem ser apreciadas pela Câmara. Portanto, as contas referentes aos exercícios de 2009 a 2013 foram apreciadas, c) As informações sobre as apreciações desejadas (2009 a 2013) encontram-se disponíveis no Portal da Câmara, na aba Transparência, do lado direito da tela, no subitem 'Parecer Prévio do TCM'. d) Vide resposta da letra C. Conforme solicitado, seguem as atas de aprovação das Contas da Prefeitura, listadas por ano: 2009 - 1ª Sessão Extraordinária (13/12/12) 2010 - 28ª Sessão Ordinária (17/04/13) 2011 - 69ª Sessão Ordinária (30/09/13) 2012 - está na Ordem do Dia. 2013 - não chegou à Casa. As atas de aprovação da Câmara Municipal de Salvador, listadas por ano, são: 2009 - 24ª Sessão Ordinária (15/06/11) 2010 - 49ª Sessão Ordinária (28/11/12) 2011 - 30ª Sessão Ordinária (24/04/13) 2012 - está na Ordem do Dia. 2013 - não chegou à Casa. Seguem arquivos anexos.	Anexo 18
42	09/02/2015	09/02/2015	Acesso as respostas para as seguintes perguntas: A Câmara Municipal utiliza sistemas de custos para controle dos gastos incorridos? Em caso afirmativo, qual o método de custeio que fundamenta tal controle?	02/03/2015	02/03/2015	"Em resposta sobre se ""A Câmara Municipal utiliza sistemas de custos para controle dos gastos incorridos?"", informamos que compartilhamos o mesmo sistema de gestão fiscal utilizado pelo município do Salvador."	
43	09/02/2015	09/02/2015	Acesso as seguintes perguntas: solicito lista de todos os contratos celebrados com dispensa de licitação em 2014, com detalhes sobre valor e modalidade de dispensa de licitação.	11/02/2015	11/02/2015	"Conforme solicitado, segue abaixo a lista de todos os contratos celebrado com dispensa de licitação em 2014, com detalhes sobre valor e modalidade de dispensa de licitação.
 Dispomos do relatório com todas as compras e contratos efetuados por meio de dispensa de licitação, como prevê o art. 24 da Lei nº 8.666/93.
 Destacamos abaixo as situações que comumente ensejam dispensa de licitação nesta Casa Legislativa.
 Art. 24. É dispensável a licitação:
 I - para obras e serviços de engenharia de valor até 10% (dez por cento) do limite previsto na alínea ""a"", do inciso I do artigo anterior, desde que não se refiram a parcelas de uma mesma obra ou serviço ou ainda para obras e serviços da mesma natureza e no mesmo local que possam ser realizadas conjunta e concomitantemente;
 II - para outros serviços e compras de valor até 10% (dez por cento) do limite previsto na alínea ""a"", do inciso II do artigo anterior e para alienações, nos casos previstos nesta Lei, desde que não se refiram a parcelas de um mesmo serviço, compra ou alienação de maior vulto que possa ser realizada de uma só vez;
 (...)
 IV - nos casos de emergência ou de calamidade pública, quando caracterizada urgência de atendimento de situação que possa ocasionar prejuízo ou comprometer a segurança de pessoas, obras, serviços, equipamentos e outros bens, públicos ou particulares, e somente para os bens necessários ao atendimento da situação emergencial ou calamitosa e para as parcelas de obras e serviços que possam ser concluídas no prazo máximo de 180 (cento e oitenta) dias consecutivos e ininterruptos, contados da ocorrência da emergência ou calamidade, vedada a prorrogação dos respectivos contratos;
 (...)
 X - para a compra ou locação de imóvel destinado ao atendimento das finalidades precípuas da administração, cujas necessidades de instalação e localização condicionem a sua escolha, desde que o preço seja compatível com o valor de mercado, segundo avaliação prévia;
 (...)
 XXII - na contratação de fornecimento ou suprimento de energia elétrica e gás natural com concessionário, permissionário ou autorizado, segundo as normas da legislação específica;
 Segue em anexo relatório de solicitações de dispensa de licitação relativo aos anos de 2013 e 2014, contendo as informações requisitadas."	Anexo 19
44	05/03/2015	05/03/2015	Informações quanto à execução orçamentária da Câmara de Vereadores de Salvador: o orçamento do ano de 2014 foi totalmente executado? Caso não tenha sido, gostaria de saber qual foi à quantia devolvida à Prefeitura.	05/03/2015	05/03/2015	"Conforme informação da Assessoria Contábil da Casa, o valor devolvido à Prefeitura foi de R$3,482,372,31 no dia 30/12/2014.
 Quanto a execução orçamentaria da Câmara, referente a 2014, as informações encontram-se no menu transparência, aba prestação de contas no portal da Câmara Municipal."	
45	11/05/2015	11/05/2015	Cidadão solicita cópia da Lei nº 2181/68.	16/05/2015	16/05/2015	Foi enviado ao cidadão anexo com cópia da Lei Lei nº 2181/68.	Anexo 20
46	16/03/2015	16/03/2015	"1. Solicitações de cópias de todos os contratos firmados pela Câmara Municipal de Salvador que tenham como objeto a aquisição de tickets de combustível e alimentação. No ensejo, requisitamos também a relação mensal dos nomes de todos os beneficiários dos referidos tickets no ano de 2014. Solicitações de cópias de todos os contratos firmados pela Câmara Municipal de Salvador, que tenham como objeto a contratação de mão de obra terceirizada.No ensejo, requisito informações atinentes à quantidade de funcionários terceirizados; nome de cada terceirizado contratado e as funções que exercem; indicação de onde estão lotados; e valores percebidos a título de salário.
 2. Solicitações de cópias de todos os contratos firmados pela Câmara Municipal de Salvador, que tenham como objeto a aquisição ou locação de toldos e/ou equipamentos de som.
 3. Solicitações de copias de todos os contratos firmados pela Câmara Municipal de Salvador, que tenham como objeto a prestação de serviço de manutenção.
 4. Solicitações de cópias de todos os contratos firmados pela Câmara Municipal de Salvador, que tenham como objeto a locação de veículos. No ensejo, requisito informações atinentes à quantidade de veículos locados atualmente; os gabinetes aos quais os mesmos estão vinculados; os setores que possuem veículos à disposição; e as respectivas placas de todos os veículos.
 5. Solicitação sobre contratos vigentes até 2014 para aquisição de tickets de combustível e alimentação, com seus respectivos termos aditivos."	31/03/2015	31/03/2015		Anexo 21
47	27/03/2015	27/03/2015	Solicitação do cidadão: “Fazemos o acompanhamento dos Projetos de Lei abaixo, e necessito da atual situação de tramitação dos mesmos”	27/03/2015	27/03/2015	"Resposta enviada a cidadã: “ A PLE-57/2010 está no Setor de Plenário para ser votada, ela é sobre Institui no âmbito do Município de Salvador o Programa de assistência aos Portadores de Doenças Celíacas. Informamos que a ementa disponibilizada a cerca deste projeto nao condiz com a enviada no seu e-mail
 A PLE-339/2010 está na Comissão de Constituição e Justiça e Redação Final aguardando parecer.
 A PLE-209/2011 está no Setor de Tramitação, encaminhado.”"	
48	06/04/2015	06/04/2015	Cidadão solicita toda a legislação municipal de salvador, vigente	06/04/2015	06/04/2015	Resposta enviada ao cidadão: “Informamos que para obter as informações solicitadas, basta acessar o link https://www.leismunicipais.com.br/camara/ba/salvador, no site da Câmara, através do qual é possível visualizar leis, decretos e resoluções relativas à legislação municipal. ”	
49	29/04/2015	29/04/2015	Projetos de lei sobre pessoas com deficiência	30/04/2015	30/04/2015	"Resposta enviada ao cidadão: 
 “Segue o link para que o senhor possa consultar todos os projetos, para pessoas com deficiência, em tramitação na Câmara http://200.223.112.188:88/leg/grid_put_dinamico/
 Caso o senhor não consiga acessar o link o senhor pode entrar no portal da Câmara http://www.cms.ba.gov.br/, no menu transparência clicar na aba proposições do legislativo. Nesse aba o senhor conseguirá ter acesso a todos os PL.”"	
50	14/05/2015	14/05/2015	"Solicitação do órgão: “O montante mensal bruto recebido pelos vereadores, especificando o que é salário-base e o que são gratificações, se houver, para vereadores que participam da mesa diretora, lideranças e vice-lideranças e comissões, ou qualquer outra gratificação adicional que o vereador receber, informando o motivo de recebimento da gratificação; b) O montante de todos benefícios que o vereador recebe mensalmente, incluindo auxílio-moradia, auxílio-paletó, auxílio-educação, auxílio-alimentação e outros; c) O montante que cada vereador dispõe mensalmente para cobrir despesas com os seguintes itens, informando como é realizado o pagamento de cada (se diretamente pela Câmara Municipal a empresas contratadas, ou se é indenizado ao vereador mediante apresentação de nota fiscal, ou se é repassado automaticamente ao vereador todo mês, ou qualquer outra forma): I - passagens aéreas; II - telefonia; III - serviços postais; IV - manutenção de escritórios de apoio à atividade parlamentar; V - assinatura de publicações; VI - fornecimento de alimentação do parlamentar; VII - hospedagem VIII - outras despesas com locomoção, como locação ou fretamento de aeronaves e veículos automotores, embarcações, serviços de táxi, pedágio e estacionamento, passagens terrestres, marítimas ou fluviais; IX - combustíveis e lubrificantes; X - serviços de segurança prestados por empresa especializada; XI – contratação de consultorias e trabalhos técnicos; XII - divulgação da sua atividade parlamentar. d) A quantidade máxima de assessores comissionados que cada vereador pode empregar em seu gabinete e a verba mensal bruta destinada para pagamento desses funcionários. Solicito que as informações sejam fornecidas em formato digital, quando disponíveis, conforme estabelece o artigo 11, parágrafo 5º da lei 12.527/2011. “"	18/06/2015	18/06/2015	"Resposta enviada ao órgão: “ Venho por este, comunicar que as informações abaixo estão disponíveis no portal da Câmara, na aba Transparência (parte vermelha do lado direito do site), no link Recursos Humanos > Tabela de Subsidio de Vereadores.
 1. ""O montante mensal bruto recebido pelos vereadores, especificando o que é salário-base e o que são gratificações, se houver, para vereadores que participam da mesa diretora, lideranças e vice-lideranças e comissões, ou qualquer outra gratificação adicional que o vereador receber, informando o motivo de recebimento da gratificação""
 2. ""O montante de todos os benefícios que o vereador recebe mensalmente, incluindo auxílio-moradia, auxílio-paletó, auxílio-educação, auxílio-alimentação e outros""
 + anexo"	Anexo 22
51	30/07/2015	30/07/2015	Solicitação do cidadão: “estou realizando uma pesquisa junto as Prefeituras e Câmaras Municipais das capitais estaduais do Brasil, para apurar se existe a concessão de benefícios como vale refeição ou alimentação, auxílio saúde e auxílio transporte aos servidores, e em caso positivo qual o valor pago atualmente. Tal pesquisa pretende analisar situações análogas a Curitiba onde nos servidores do Legislativo contamos atualmente com o auxílio saúde e auxílio creche e pretendemos criar um grupo de estudos para sugestionar a implantação de outros benefícios, portanto se puderem colaborar agradecemos antecipadamente pela atenção e colaboração. Complementando gostaria de salientar que esta mensagem não reflete a posição institucional, mas a minha estrita intenção de contribuir com o crescimento de nossa qualidade de vida e por consequência melhor desempenho funcional.”	13/08/2015	13/08/2015	Resposta enviada ao cidadão: “Em atenção a sua solicitação, estamos encaminhando em anexo as informações referentes às concessões de benefícios aos servidores do Quadro Efetivo da Câmara Municipal do Salvador.”	Anexo 23
52	31/08/2015	31/08/2015	Cidadão questiona como adquirir o Título de Utilidade Pública Municipal	31/08/2015	31/08/2015	"Resposta enviada ao cidadão:
 “Para que a senhora consiga o título de utilidade pública, é preciso que a senhora entre em contato com o setor de setor de análise e pesquisa, fica localizado no prédio Rio Lima, a senhora Fátima Correia poderá te ajudar nisso. Rua Ruy Barbosa Ed. Rio Lima 5º andar. Para maiores informações - (71)3320-0365 – Fátima”"	
53	31/08/2015	31/08/2015	Cidadão solicita informações sobre o meio de comunicação que a câmara de salvador publica seus avisos de licitações e os respectivos editais.	31/08/2015	31/08/2015	"Resposta enviada ao cidadão: “
 A Câmara publica os editas e os avisos de licitação no Diário Oficial Legislativo - DOL, ou no portal da Câmara http://www.cms.ba.gov.br/index.aspx menu Transparência, aba Processos Licitatórios - http://www.cms.ba.gov.br/index.aspx”"	
