"esfera";"poder";"orgao";"protocolo";"assunto";"outros";"atendimento";"nao_e_pedido_de_informacao";"contem_dados_pessoais";"pedido";"pedido_pasta_do_anexo_pedido";"anexo_com_extensao_pedido";"resposta";"pasta_do_anexo_resposta";"anexo_com_extensao_resposta";"data_recurso_1";"recurso_1";"pasta_do_anexo_recurso_1";"anexo_com_extensao_recurso_1";"data_resposta_recurso_1";"resposta_recurso_1";"pasta_do_anexo_resposta_recurso_1";"anexo_com_extensao_resposta_recurso_1";"data_recurso_2";"recurso_2";"pasta_do_anexo_recurso_2";"anexo_com_extensao_recurso_2";"data_resposta_recurso_2";"resposta_recurso_2";"responsavel"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"1443";;;;;;"O Setor de Comunicação Social da SMA nos informa que a empresa Nasajon Educacional mantém cursos de atualização profissional Contábil, Fiscal, Trabalhista e Tributária. A programação completa está disponível no link abaixo:http://smaonline.rio.rj.gov.br/mailmarketing/Nasajon%20Educacional_%20prefeitura%20do%20Rio%20de%20Janeiro.html. Tendo como endereço e telefone os já informado neste chamado. Informa ainda que há descontos especiais para servidores.";;;"Agradecemos a comunicação e informamos que serão feitos os registros e a divulgação neste TCMRJ.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"1454";;;;;;"Apesar de informar meu endereço, peço ao Tribunal de Contas do Município que por gentileza faça contato comigo através de e-mail.
Quero saber se há previsão de concurso.Tenho interesse de participar de concurso ao Tribunal de Contas do Município.Sou morador na cidade do Rio de Janeiro.Em caso de aprovação, poderei chegar ao local de trabalho.Aguardo resposta.

********************
***********************
11 de maio de 2012";;;"Lamentamos informar que não há previsão para realização próxima de Concurso Público neste Tribunal.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"1470";;;;;;"PROTOCOLAMOS UMA SOLICITAÇÃO DE INVESTIGAÇÃO NA DATA DE 16/04/2012, GOSTARÍAMOS DE OBTER O NUMERO DO PROCESSO PARA VERIFICARMOS O ANDAMENTO, AGRADECEMOS DESDE JÁ VOSSA ATENÇÃO, AGUARDAMOS UM RETORNO.

ATENCIOSAMENTE,

**********
CNPJ: *******************";;;"A referida Representação foi protocolada neste Tribunal sob o nº 40/*****/2012.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"1498";;;;;;"boa noite,gostaria de saber o ano de publicação do artigo: um estudo socioeconomico das royalties de petroleo, feito por carlos mauricio raposo, luciana trindade ferreira pinto e marcelo simas ribeiro. pois estou usando como referencias para um trabalho de conclusao de curso";;;"Informamos que o artigo foi publicado em novembro de 2006.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"1508";;;;;;"pensao alimenticia poc. n 0022326-6620128190021";;;"Lamentamos, mas não temos como auxiliá-la com a informação fornecida.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"1558";;;;;;"GOSTARIA DE SABER SOBRE O PROCESSO DE APOSENTADORIA ESPECIAL 07/********/2011? SE ELES FICAM ARQUIVADOS? E AONDE EU POSSO PEDIR UMA CÓPIA DE INTEIRO TEOR DEPOIS QUE ELE FINALIZAR? QUAL A SALA? OU SE É NA PRÓPRIA SECRETARIA MUNICIPAL DE EDUCAÇÃO? DESDE JÁ AGRADEÇO A ATENÇÃO";;;"Será respondido através do chamado 1556. Em condições de fechamento.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"1583";;;;;;"O Requerente, com base na Lei 12527 que regula o acesso as informações, solicita a cópia integral do relatório produzido pelo Cons Antonio Carlos F. de Moraes sobre irregularidades e indícios de formação de cartel, na licitação das empresas de ônibus do Rio de Janeiro, realizada em 2010. E ainda, cópia do voto de todos os conselheiros a este relatório. Agradece.";;;"O presente chamado foi atendido através do Of. TCM/GPA/SCP/00364/2012, de 20/07/2012.
Em condições de fechamento.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"1589";;;;;;"A Requerente, professora aposentada por invalidez pela psiquiatria, como não teve direito a integralidade e nem a paridade na época de sua aposentadoria, busca saber se  com a  nova legislação federal, na emenda 70 - publicada em 29/03/2012, que se estende aos servidores estaduais e municipais lhe ampararia no sentido de receber integralmente e com paridade, necessita saber se sua aposentadoria enquadra-se em tal benefício. Agradece caso possamos passá-la maiores informações.";;;"A Emenda Constitucional nº 41/03 acabou com a paridade entre ativos e aposentados para os servidores que se aposentaram com base no artigo 40, § 1º, I da Constituição Federal. Desta forma, os proventos de tais servidores passaram a ser calculados através da média das remunerações que servem de base para o desconto previdenciário, nos termos da Lei nº 10.887/2004.

O artigo 40, § 1º, I da CRFB estabelece que os proventos das aposentadorias por invalidez permanente serão proporcionais ao tempo de contribuição, exceto se decorrente de acidente em serviço, moléstia profissional ou doença grave, contagiosa ou incurável, na forma da lei. No caso do Município do Rio de Janeiro, a invalidez com proventos integrais decorre do acometimento das doenças listadas no artigo 92 da Lei nº 94/79.

A Emenda Constitucional nº 70/2012 restabeleceu a paridade para os servidores aposentados com base na citada fundamentação (artigo 40, § 1º, I) e que ingressaram no serviço publico até 31/12/2003, mantendo porém, a regra de proporcionalidade prevista no inciso I.

Não obstante a perda da paridade instituída pela Emenda Constitucional nº 41/03, o Município do Rio de Janeiro vem mantendo tal instituto fundamentando-se no Decreto nº 23.844/03. Sendo assim, não há qualquer efeito a ser produzido pela Emenda Constitucional nº 70/2012 no cálculo dos proventos da ex-servidora.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"1602";;;;;;"Sobre a investigação da licitação de fachada do transporte coletivo da cidade do Rio, deve ser colocado como informação que o empresário Jacob Barata é sócio das seguintes empresas: Alpha, Ideal, Transurb, Normandy, Saens Peña, Verdun, Rodoviária Âncora Matias, Braso Lisboa e Vila Real. Portanto deixaram de fora duas empresas que também são controladas pelo Grupo Guanabara que é do empresário Jacob Barata que tem o sobrinho dono da empresa Pégaso que opera o Ligeirão Oeste em conjunto com o tio, dono da Jabour.";;;"Agradecemos sua comunicação e informamos que as anotações sobre os fatos comunicados foram incluídas para verificação em próximas inspeções na área de transportes.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"1617";;;;;;"O Requerente solicita cópia do processo TCM-RJ 040/00003044/2011, referente a Inspeção Ordinária realizada pela 6ª IGE, abrangendo o período de março de 2010 a abril de 2011.Agradece.";;;"Tendo em vista a similitude entre este chamado e o de nº 1616, informamos que sua solicitação será atendida através do primeiro (nº 1616).";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"1621";;;;;;"A Requerente leciona no Centro de Integração Objetivo - CIOB, Santa Cruz da Serra em D. de Caxias. Tomou conhecimento das cartilhas que tratam de cidadania elaborada pelo TCMRJ, leciona dando aula de Cidadania e solicita, caso possamos fazer a disponibilização, exemplares que passará a incluir como material didático, entregando aos seus alunos de 6ª série  ao 9º ano do ensino do fundamental, segundo seguemento. Caso afirmativo, agradeceria caso possamos contatá-la para que possa informar o nº necessário de exemplares.";;;"Agradecemos seu contato e lamentamos informar que não há mais exemplares, neste TCMRJ, de cartilhas abordando matérias sobre Cidadania.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"1638";;;;;;"Prezados Senhores
Qual o procedimento a ser adotado para regularizar a aquisição de produtos  que não atendem a legislação, mas que hoje esta sendo adquiridos (comprados)  pelos órgãos públicos?
Esses produtos que não atendem a legislação estão sendo licitados e em alguns casos até mesmo são feitas audiências públicas, mas mesmo assim para aquisição de produtos que não atendem a legislação.
No aguardo com a brevidade que o assunto requer.
Atenciosamente
******************
SP-10.09.2012 às 0H08";;;"O exame da questão colocada no seu chamado depende do fornecimento de informações específicas.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"1644";;;;;;"Para que eu possa atender ao disposto na Resolução 156, de 08/08/2012, do CNJ, gostaria de saber como faço para obter uma certidão negativa junto ao TCM-RJ";;;"2ªRESPOSTA:
Com a finalidade de agilizar o procedimento referente à emissão de Certidões, informamos que a partir da próxima quarta-feira, dia 19/09/2012, a emissão da mesma poderá ser feita pelo próprio interessado diretamente no site deste TCMRJ: http://www.tcm.rj.gov.br

Solicitamos a gentileza de divulgar esta informação no âmbito desse Tribunal de Justiça. 

1ªRESPOSTA:
Informamos que o formulário a ser preenchido encontra-se disponibilizado na página deste TCMRJ na Internet ou também obtido no Setor de Protocolo deste Tribunal, na Rua Santa Luzia nº 732, Centro, Rio de Janeiro, onde deverá ser apresentado, instruído com cópia do documento de identidade, com o número do CPF. 
O prazo máximo para entrega da Certidão é de cinco dias úteis.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"1757";;;;;;"O Requerente, advogado cursando pós-graduação em fiscalização, após ter buscado informações junto ao TCMSP requereu a esta Ouvidoria informações quanto ao processo fiscalizatório das contas do TCMRJ. Pergunta:                            1) Qual o Órgão que julga as contas do Tribunal de Contas do  Município do Rio de Janeiro.                                                         2) Quais os procedimentos para tal julgamento.                          3) Qual o prazo para prestação de tais contas.                          Agradece caso possamos respondê-lo.";;;"Em atenção a sua solicitação, informamos:
1 - A Câmara Municipal do Rio de Janeiro julga as contas de gestão deste Tribunal de Contas;
2 - O Tribunal prepara a Prestação de Contas e a envia ao Legislativo Municipal;
3 - O prazo é de 60 (sessenta) dias após o início da Sessão Legislativa da Câmara Municipal.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"1776";;;;;;"Prezados,

em razão da matéria veiculada no jornal O Dia, que levou ao conhecimentos dos leitores informações contidas no relatório do Processo n° 40/6526/2011, solicitamos, com maior brevidade possível, cópia do inteiro teor do processo mencionado. Registre-se, por oportuno, que o IABAS, parte interessada do processo, ainda não teve acesso à dita decisão, motivo pelo qual a obtenção de cópia dos autos é medida de máxima urgência.

Att

*******************";;;"Em atendimento a sua solicitação, informamos que cópia integral, em mídia CD-R, do processo nº 40/006.526/2011, poderá ser retirada no Setor de Protocolo deste TCMRJ, horário comercial, localizado na Rua Santa Luzia, nº 732 - loja, com entrada pela Rua México.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"1778";;;;;;"Gostaria de obter a decisão final do processo de n.º 040/00003425/2006. obrigada,";;;"Em atendimento à sua solicitação, encaminhamos, em anexo, cópia da decisão final referente ao processo 40/003.425/2006.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"1797";;;;;;"O Requerente nos solicita o detalhamento da Tabela de Pagamento de Pessoal do TCMRJ, a qual ao seu ver foge aos padrões de transparência, visto que no TCU, na Procuradoria da República e nos Ministérios Públicos, todo e qualquer cidadão obtém dados especificos dos funcionários e servidores lotados no determinado Órgão.Como exemplo cita que todos os tribunais fornecem: nome, função (inclusive quando gratificadas), salários com suas respectivas gratificações, deliberações que perceba o servidor e tudo mais enfim o qual se faz necessário para que haja transparência.Solicita explicações por quê, como todos os demais tribunais, não disponibilizamos tais informações e manifesta que gostaria de obtê-las além obviamente da Tabela, através do arquivo de pdf. Agradece.";;;"A estrutura de pessoal deste TCMRJ sofreu consideráveis alterações em razão da edição da Lei nº 5.544, de 20/12/2012, publicada no D.O. Rio do dia seguinte. Esse novel diploma legal operou a transformação dos cargos de provimento efetivo desta Corte, sem atribuir qualquer ganho remuneratório, agrupando-os em três categorias, a saber:

- Auditor Substituto de Conselheiro;
- Auditor de Controle Externo; e
- Técnico de Controle Externo.

A página deste TCMRJ já se encontra adaptada a essa nova estrutura de pessoal.
As remunerações correspondentes encontram-se igualmente atualizadas, sendo que as gratificações de controle externo e a de encargos especiais apresentam-se corrigidas com base no índice aprovado pela Resolução nº 2748, de 20/12/2012.

As informações disponibilizadas atendem plenamente aos comandos da Lei de Acesso à Informação, e apresentam-se estruturadas de forma idêntica aos demais órgãos de controle deste Estado, como sejam o Tribunal de Contas e o Ministério Público.

Não obstante, tão logo ocorra a finalização das alterações nos cadastros nominais por parte do órgão de pessoal, novos elementos serão inseridos no sítio deste TCMRJ.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"1828";;;;;;"Prezados, 
Fui aprovado no último concurso e sou o ****** da fila para o cargo de engenheiro, ouvi falar que foram aprovadas novas vagas, gostaria muito de saber qual a previsão para nomeação pois estou com uma viajem marcada!!";;;"A Lei nº 5544/2012 acresceu, por transformação, cinco novos cargos na então classe de Engenheiro (atual Auditor de Controle Externo: Especialização Engenharia), os quais serão ocupados de acordo com a ordem de classificação nesse concurso.

Está prevista nova convocação de candidatos aprovados para o próximo mês de março de 2013.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"1830";;;;;;"gostaria de saber se tem alguma lei que impeça o vereador que foi eleito. e o mesmo sair p/ ser secretário.";;;"Agradecemos sua comunicação e informamos que não há qualquer impedimento legal em relação a Vereador, Deputado Estadual, Deputado Federal ou Senador, no período de mandato, ocupar cargo de Secretário Municipal, Secretário Estadual ou Ministro de Estado.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"1838";;;;;;"?Ao Setor de Execuções das decisões deste Egrégio Tribunal de Contas. 

Prezados Senhores, 

             A Diretoria de Execuções do Tribunal de Contas do Paraná está realizando uma pesquisa sobre os valores das multas impostas pelos Tribunais de Contas. 

             Assim solicitamos a gentileza de Vossas Senhorias nos remeterem, via correio eletrônico, os valores das multas e o embasamento legal.

             Se for possível, solicitamos ainda o índice percentual dos efetivos recolhimentos das multas impostas. Em outras palavras, quanto por cento das multas foram efetivamente pagas pelos jurisdicionados e das condenações totais em desaprovações desta Egrégia Corte de Contas.

            Atenciosamente,?
 
****************
Analista de Controle 
Diretoria de Execuções TCE PR";;;"Este TCMRJ, uma vez constatada a tipificação concreta de infração e, ouvido o Plenário, utiliza como base para aplicação de multas, a Lei Municipal nº 3.714/2003, de 17/12/2003, combinada com os artigos 238 a 242 do nosso Regimento Interno.  

Para que os dois primeiros itens de sua solicitação possam ser devidamente esclarecidos, estamos encaminhando, em anexo, a referida Lei na íntegra, bem como a transcrição do Capítulo II (DAS MULTAS) da Deliberação nº 183, de 12/09/2011, que aprovou o Regimento Interno deste TCMRJ.

Com relação ao terceiro item, índice percentual dos efetivos recolhimentos das multas impostas, não podemos dar uma informação precisa e nem mesmo estimada, uma vez que das multas que foram aplicadas até hoje por este Tribunal, algumas foram pagas, outras simplesmente, não foram pagas e os infratores tiveram seus nomes inscritos na Dívida Ativa. Existe, ainda, a hipótese de que os responsáveis foram multados, mas apresentaram recurso e, até o momento, não houve decisão definitiva sobre a matéria. 

Segue, igualmente, a última atualização do valor da multa para o corrente exercício de 2013.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"1850";;;;;;"falecimento do ex-servidor Sr ***********, na data de ********.";;;"Agradecemos a comunicação e lamentamos o fato.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"1894";;;;;;"Gostaria de ter acesso aos relatórios da CAD e também do TCM sobre as contas municipais. Antes eles ficavam disponíveis no portal do TCM. Por que não estão mais? Se o TCM quer contribuir para a cidadania, uma medida fundamental é disponibilizar tais relatórios.

Atenciosamente,

*******
Prof. da ***********";;;"O material solicitado encontra-se disponível no endereço: 
http://www.tcm.rj.gov.br/WEB/Site/Noticias.aspx?Categoria=28";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"1896";;;;;;"Bom dia Peço informações com relação a funcionários do Estado. Ex. Um professor da UERJ pode exercer o cargo de Subsecretário de turismo e receber os respectivos vencimentos deste cargo já que recebe como professor concursado da UERJ. Aqui em Teresópolis temos o Sr. ********* com esta função.";;;"Este Tribunal de Contas só tem atuação sobre os órgãos e entidades do Município do Rio de Janeiro.
Sugerimos que sua comunicação seja dirigida ao Tribunal de Contas do Estado do Rio de Janeiro, podendo ser contactado no telefone (21)3231-5200 ou no site www.tce.rj.gov.br.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"1936";;;;;;"Solicito cópia integral do voto do conselheiro Antonio Carlos Flores de Moraes que aponta problemas na licitação dos ônibus realizada pela Prefeitura do Rio de Janeiro. A sessão ocorreu no dia 11 de julho de 2012.
Grato,
********";;;"Em atendimento ao solicitado, encaminhamos cópia do Voto referente ao processo 40/005.505/2010, aprovado na Sessão de 11/07/2012.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"1948";;;;;;"Prezados,

solicito cópia integral do processo n° 040/00002580/2011 , pois o IABAS figura como parte interessada.

Obrigado.

 ******************";;;"Respondido através do Chamado 1946";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"1954";;;;;;"Prezados,

Solicito cópia integral do Processo n° 	 040/00003071/2011, pois o IABAS figura como parte interessada.

Obrigado

**************";;;"Respondido através do Chamado 1946";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"1964";;;;;;"Prezados,

solicito cópia integral do Processo n° 	 040/00001607/2012, pois o IABAS figura como parte interessada.

Obrigado

*************";;;"Respondido através do Chamado 1946";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"1972";;;;;;"Documento para apresentar ao INSS  que mostra a necessidade de comprovação contribuição previdenciária como médico residente para averbação tempo para aposentadoria (SMS)";;;"Para o correto procedimento ligar para o número 135 do INSS a fim de obter informações sobre agendamento da visita em uma das suas agências e a documentação necessária de solicitação de Certidão do Tempo de Contribuição para averbação para aposentadoria.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"1974";;;;;;"Estou entrando em contato com a ouvidoria do TCE, pois fui aprovada no cargo de técnico judiciário do Tribunal de Justiça do estado do Rio de Janeiro para a localidade 11 nur (região dos lagos) na colocação **** e sei que existe uma lista imensa de terceirizados ocupando vagas de concursados, mas não sei o quantitativo. gostaria de saber essa informação, pois desejo pleitear uma vaga junto ao Órgão. agradecida.";;;"Este Tribunal de Contas só tem atuação sobre os órgãos e entidades do Município do Rio de Janeiro.
Sugerimos que sua comunicação seja dirigida ao Tribunal de Contas do Estado do Rio de Janeiro, podendo ser contactado no telefone (21)3231-5200 ou no site www.tce.rj.gov.br.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"1990";;;;;;"Por favor, gostaria de mais informações, tais como, detalhes do contrato e valores gastos, do contrato da Secretaria Municipal de Esporte e Lazer com o \"ESPACO CIDADANIA E OPORTUNIDADES SOCIAIS - ECOS\" INSTRUMENTO CONTRATUAL:	20";;;"O Contrato nº 20/2012 celebrado entre SMEL e Espaço Cidadania e Oportunidades Sociais - ECOS tem como objeto a gestão administrativa e esportiva do Centro  Esportivo Miécimo da Silva, no período de 06/07/2012 a 05/07/2014.

O valor inicialmente pactuado foi de R$ 20.647.699,92, tendo sido empenhado até a presente data R$ 15.485.774,94, liquidados R$ 10.323.849,96 e pagos R$ 8.603.208,30, nos Programas de Trabalho 2501.27.812.0032.2558 e 1615.12.361.0316.2399.

A relação dos instrumentos celebrados pela PCRJ pode ser obtida na pagina da Prefeitura na Internet no endereço http://riotransparente.rio.rj.gov.br/";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"1991";;;;;;"O Requerente gostaria de informações sobre o relatório que versa sobre a licitação de 2010 quanto à formação de carteis no transporte do RJ, cujo voto é do Cons relator Antonio C. Flores, e que após votação teria sido arquivado. Gostaria também, saber se cabe recurso a essa decisão e se esse recurso só poderá ser feito pela Procuradoria Especial do TCM. E por último, como poderá ter accesso ao texto do voto de ontem dado pelo Cons. Flores. Agradece.";;;"Em atenção ao seu chamado, informamos que cabe Recurso da Procuradoria Especial deste TCMRJ.

A cópia do Voto solicitado, da lavra do Conselheiro Antonio Carlos Flores  de Moraes, está à disposição e para tal deve ser requerido junto ao Protocolo desta Instituição, na Rua Santa Luzia nº 732, térreo, Centro, Rio de Janeiro.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"2011";;;;;;"A Contribuinte escreve ao  Sr. Procurador Chefe Carlos Henrique Amorim Costa.No ano passado, o corpo técnico do TCMRJ levantou uma série de problemas na licitação dos ônibus que a Prefeitura realizou em 2010. O mais grave é a forte suspeita de formação de cartel entre os consórcios que exploram as linhas de ônibus, uma vez que várias empresas participam de mais de um consórcio e muitas possuem diretores em comum.Na contramão das demandas da população, que conseguiu a instalação da CPI dos Ônibus na Câmara de Vereadores, o plenário deste Tribunal, numa sessão onde estavam presentes apenas 4 dos 7 Cons., resolveu arquivar o processo que investigava as possíveis ilegalidades na licitação.A intenção do Proc. José Ricardo Parreira de Castro em pedir o desarquivamento das investigações dos ônibus é fundamental para que a caixa preta da Fetranspor seja aberta. O Proc. não está sozinho nessa luta. Milhares de cariocas estão atentos, esperando que os Conselheiros voltem atrás.";;;"Respondido diretamente por email.

Em relação a seu chamado, cabe esclarecer que:
	- a decisão de arquivamento do Contrato pelo Plenário deste TCMRJ significa tão somente em reconhecer a sua legalidade em seu aspecto formal, sem implicar em qualquer paralisação do processo de verificação de sua execução por parte desta Instituição;
	- nesse processo de auditoria da execução contratual, ora intensificado em razão do clamor popular,  serão verificadas, entre outros aspectos contratualmente fixados, a qualidade da prestação do serviço à população, no que diz respeito,  às condições de limpeza, higienização e conservação dos veículos, a frequência das linhas, e principalmente, a análise dos resultados financeiros;
	- os Relatórios decorrentes dessa auditoria, após apreciação plenária, serão imediatamente enviados à Câmara Municipal e divulgados no site deste TCMRJ;
	- cabe informar que  o Membro da Procuradoria Especial junto a este TCMRJ já manifestou formalmente seu interesse em recorrer da citada decisão.";;;;;;;;;;;;;;;;;"Ana"
