Pedido Nº	Tipo	Situação	Categoria	Título	Data de cadastro	Descrição	Data de conclusão	Resposta ao usuário	RESPOSTAS COM ANEXO
011	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	21/03/2017	"Prezado Dr./a Ouvidor/a, boa tarde!
 
Venho através deste requerer a vacância atual do quadro de efetivos do Tribunal de Justiça de Pernambuco, dos cargos de Analista Judiciário (todas especialidades), Técnico Judiciário (todas as especialidades) e Oficial de Justiça.
Obrigado.
"	31/03/2017	"
Prezado(a) Senhor(a), 

PEDIDO DE INFORMAÇÃO Nº 011/2017                                                          
Segue, em arquivo anexo, resposta ao Pedido de Informação registrado nesta Ouvidoria sob o número em epígrafe, encaminhada pela Secretaria de Gestão de Pessoas deste TJPE.

Atenciosamente, 

Ouvidoria Geral da Justiça/CPSIC
Tel.: (81) 3182-0638"	SIM                  Pedido de informação 011/2017
012	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	27/03/2017	"Prezado Dr./a Ouvidor/a, boa tarde!
 
Solicito saber o TJPE quantos processos entraram na Justiça no ano de 2015 e 2016 (separado por ano) em face do referido Estado por omissão de socorro médico, negligência, imperícia ou imprudência dentro de hospital do ente público. Também solicito saber quantos mandados de segurança foram concedidos nesses mesmos anos (2015 e 2016)  para paciente do SUS ser internado em UTI de unidade estadual de Saúde, especificando nome do hospital"	29/05/2017	"
Prezado(a) Senhor(a), 

PEDIDO DE INFORMAÇÃO Nº 012/2017                                                          
Segue, em arquivo anexo, resposta ao Pedido de Informação registrado nesta Ouvidoria sob o número em epígrafe, encaminhada pela SETIC.

Atenciosamente, 

Ouvidoria Geral da Justiça/CPSIC
Tel.: (81) 3182-0638

"	 SIM                Pedido de Informação 012/2017
013	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	30/03/2017	"Prezado Dr./a Ouvidor/a, boa tarde!
 
SOLICITO RELAÇÃO DESCRITIVA CONTENDO OS E-MAILS INSTITUCIONAIS (TAMBÉM CONHECIDO POR CORREIO ELETRÔNICO OU E-MAIL FUNCIONAL) DE TODAS AS COMARCAS E RESPECTIVAS VARAS (POR CIDADE), BEM COMO AINDA OS DAS VARAS ESPECIALIZADAS, DE PRIMEIRA, SEGUNDA E TERCEIRA ENTRÂNCIAS, CRIADAS E EM FUNCIONAMENTO CONFORME CONSTAM DO CÓDIGO DE ORGANIZAÇÃO JUDICIÁRIA DESTE ESTADO DE PERNAMBUCO."	06/04/2017	"
Prezado(a) Senhor(a), 

PEDIDO DE INFORMAÇÃO Nº 013/2017                                                          
Segue, em arquivo anexo, resposta ao Pedido de Informação registrado nesta Ouvidoria sob o número em epígrafe, encaminhada pela SETIC.

Atenciosamente, 

Ouvidoria Geral da Justiça/CPSIC
Tel.: (81) 3182-0638"	SIM                 Pedido de informação 013/2017
014	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	14/04/2017	"Prezado Dr./a Ouvidor/a, boa tarde!
 
Gostaria de ter os números dos quantitativos de cargos efetivos (ocupados e vagos) atualizados. A área de transparência do site que trata da resolução 102/2009 do CNJ está indisponível. Obrigado."	26/04/2017	"
Prezado(a) Senhor(a), 

PEDIDO DE INFORMAÇÃO Nº 014/2017                                                          
Segue, em arquivo anexo, resposta ao Pedido de Informação registrado nesta Ouvidoria sob o número em epígrafe, encaminhada pela Secretaria de Gestão de Pessoas deste TJPE.

Atenciosamente, 

Ouvidoria Geral da Justiça/CPSIC
Tel.: (81) 3182-0638

"	SIM                  Pedido de Informação 014/2017
015	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	17/04/2017	"Prezado Dr./a Ouvidor/a, boa tarde!
 
Senhoras e Senhores, solicito o envio via email, de forma digitalizado, em inteiro teor, a cópia do instrumento de celebração do convênio n° 015/2016 firmado entre a Associação dos Muncipalistas de Pernambuco (AMUPE) e o Tribunal de Justiça do Estado de Pernambuco (TJPE), publicado em 02/06/2016 na pagina n° 56 da Edição 102/2016 do Diário da Justiça Eletrônico de Pernambuco. Desde já agradeço a atenção."	15/05/2017	"
Prezado(a) Senhor(a), 

PEDIDO DE INFORMAÇÃO Nº 015/2017                                                          
Segue, em arquivo anexo, resposta ao Pedido de Informação registrado nesta Ouvidoria sob o número em epígrafe, encaminhada pela Assessoria especial da Presendência deste TJPE.

Atenciosamente, 

Ouvidoria Geral da Justiça/CPSIC
Tel.: (81) 3182-0638
"	SIM                        Pedido de informação 015/2017
016	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	21/04/2017	"Prezado Dr./a Ouvidor/a, boa tarde!
 
Gostaria de saber se é possível a disponibilização do formulário do cadastro de adoção utilizado pelas Varas da Infância e Juventude do PE antes da adoção do Cadastro Nacional.
Agradeço desde já colaboração,
"	02/05/2017	"
Prezado(a) Senhor(a), 

PEDIDO DE INFORMAÇÃO Nº 016/2017                                                          
Segue, em arquivo anexo, resposta ao Pedido de Informação registrado nesta Ouvidoria sob o número em epígrafe.

Atenciosamente, 

Ouvidoria Geral da Justiça/CPSIC
Tel.: (81) 3182-0638
"	SIM                        Pedido de informação 016/2017
017	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	01/05/2017	"Prezado Dr./a Ouvidor/a, boa tarde!
 
GOSTARIA DE TER ACESSO A LISTA ATUALIZADA DE CARGOS VAGOS DO TRIBUNAL.
DESDE  JÁ AGRADEÇO E COLOCO-ME A DISPOSIÇÃO PARA EVENTUAIS ESCLARECIMENTOS.
"	02/05/2017	"

Prezado(a) Senhor(a), 

PEDIDO DE INFORMAÇÃO Nº 017/2017                                                          
Segue, em arquivo anexo, resposta ao Pedido de Informação registrado nesta Ouvidoria sob o número em epígrafe, encaminhada pela Secretaria de Gestão de Pessoas deste TJPE.

Atenciosamente, 

Ouvidoria Geral da Justiça/CPSIC
Tel.: (81) 3182-0638

"	SIM                       Pedido de informação 017/2017
018	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	02/05/2017	"Prezado Dr./a Ouvidor/a, boa tarde!
 
Prezados, sobre o concurso público para os cargos de técnico e analista do TJPE, com divulgação do edital agora para o mês de maio, é possível informar se o edital será divulgado agora com a publicação da Lei n. 16.019/2017 ou se aguardarão o prazo de 30 dias previsto na lei para que os atuais servidores façam a opção de cargos, levando a divulgação do edital para junho? Desde já, grato!"	03/05/2017	"Ainda não há previsão exata para divulgação de edital, bem como  das inscrições, do número de vagas e da realização dos exames. Toda informação oficial será repassada por emio do sítio ofical do TJPE na internet.


"	                                                                                                                                                                                         
019	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	08/05/2017	"Prezado Dr./a Ouvidor/a, boa tarde!
 
Gostaria de saber quantas sentenças condenando e quantas existem absolvendo por ""Feminicídio"" existem no Estado de Pernambuco e na Capital."	06/06/2017	"
Prezado(a) Senhor(a), 

PEDIDO DE INFORMAÇÃO Nº 019/2017                                                          
Segue, em arquivo anexo, resposta ao Pedido de Informação registrado nesta Ouvidoria sob o número em epígrafe, encaminhada pela SETIC.

Atenciosamente, 

Ouvidoria Geral da Justiça/CPSIC
Tel.: (81) 3182-0638
"	SIM                           Pedido de informação 019/2017
020	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	12/05/2017	"Prezado Dr./a Ouvidor/a, boa tarde!
 
Favor informar a quantidade de cargos vagos de Oficial de Justiça. 
Desde já, agradeço a atenção!
"	15/05/2017	"
Prezado(a) Senhor(a), 

PEDIDO DE INFORMAÇÃO Nº 020/2017                                                          
Segue, em arquivo anexo, resposta ao Pedido de Informação registrado nesta Ouvidoria sob o número em epígrafe, encaminhada pela Secretaria de Gestão de Pessoas deste TJPE.

Atenciosamente, 

Ouvidoria Geral da Justiça/CPSIC
Tel.: (81) 3182-0638


"	                                                                                                                                                                                         SIM                           Pedido de Informação 020/2017
021	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	22/05/2017	"Prezado Dr./a Ouvidor/a, boa tarde!
 
Prezado(a), com fins de prospecção estatística, com 
supedâneo na Lei de Acesso à Informação (nº 12.527, de 18/11/2011), envio o seguinte questionário, contando desde já com vossa colaboração para devolvê-lo respondido de maneira organizada.


1- Na instituição, existe alguma Gratificação de Atividade Judiciária (GAJ) ou semelhante, que remunere o servidor que exerça carga horária superior a 6 horas diárias?
2- Em caso positivo à questão nº 1, atualmente quanto é o percentual da referida Gratificação na instituição?
3- Qual a legislação que rege a referida Gratificação?
"	31/05/2017	"
Prezado (a) Senhor (a),

Ref.: Pedido de Informação nº 021/2017

Em resposta ao seu Pedido de Informação com base na LAI, registrado sob o nº em epígrafe, seguem abaixo, considerações da Secretaria de Gestão de Pessoas deste TJPE.

""Informamos que não há Gratificação de Atividade Judiciária (GAJ) ou semelhante que remunere o servidor que exerça carga horária superior a 6(seis) horas.""


Atenciosamente,

Ouvidoria Geral da Justiça/CPSIC - TJPE
Tel.: (81) 3182-0638 "	                                                                                                                                                                                         
022	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	23/05/2017	"Prezado Dr./a Ouvidor/a, boa tarde!
 
Com base na Lei 12.527/11, solicito o número de pedidos de informação recebidos, respondidos e negados ao longo do ano de 2016, no âmbito do poder judiciário estadual. No caso dos pedidos negados, quais as justificativas dadas para a rejeição."	24/05/2017	"
65 pedidos formulados com base na Lei de Acesso à Informação, no ano de 2016, sendo todos atendidos.

"	                                                                                                                                                                                         
023	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	25/05/2017	"Prezado Dr./a Ouvidor/a, boa tarde!
 
Boa tarde,
solicito o número de cargos vagos para Analista Judiciário que existiam no Polo Mata Sul I até o dia 21/03/2016 (quando expirou o concurso anterior). Dado importante em razão do novo concurso que será realizado esse ano. Também solicito o total de cargos vagos de Analista Judiciário atualmente em todo o estado.
"	25/05/2017	"
Prezado(a) Senhor(a),

Ref. PEDIDO DE INFORMAÇÃO Nº 023/2017

Seu pedido de informação foi registrado nesta Ouvidoria sob o número em epígrafe. Na oportunidade seguem, abaixo,  esclarecimentos que já foram enviados a outro cidadão solicitante, inclusive o arquivo anexo.

OBS: Os cargos são criados para atender toda a estrutura do Judiciário estadual. Sendo assim, não são criados por polos. Via de consequência, não há cargos vagos por polos. Segue, em arquivo anexo, resposta a sua solicitação.

Atc.,

Ouvidoria Geral da Justiça
(81) 3182-0638

"	SIM                        Pedido de Informação 023/2017
024	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	31/05/2017	"Prezado Dr./a Ouvidor/a, boa tarde!
 
(...)solicito uma lista com os e-mails (ou que seja disponibilizado no site) de todas as comarcas.  O e-mails informados no site do CNJ estão desatualizados. "	02/06/2017	"
Prezado(a) Senhor(a),

Ref. PEDIDO DE INFORMAÇÃO nº 024/2017

Segue, em arquivo anexo, resposta ao seu pedido de informação, com base na LAI, registrado neste Órgão sob número em epígrafe.

Atc.,

Ouvidoria Geral da Justiça
(81) 3182-0638

"	SIM                           Pedido de informação 024/2017
025	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	06/06/2017	"Prezado Dr./a Ouvidor/a, boa tarde!
 
Olá, gostaria de saber quantos candidatos foram nomeados para os cargos de analista judiciário (área judiciária e administrativa) e oficial de justiça no concurso público de 2011 para o pólo de Petrolina.

"	12/06/2017	"Prezado(a) Senhor(a), 

Ref. Pedido de Informação nº 025/2017 - CPSIC/TJPE

Segue, abaixo, resposta ao seu pedido de informação registrado neste Órgão sob o número em epígrafe.                                                         
""Em relação ao pedido de informação do Sr. xxxxxx, referente à quantidade de nomeados no Concurso/2012, nos cargos de Analista Judiciário e Oficial de Justiça, Polo 15(Sertão do São Francisco), informamos que foram nomeados 41 Analistas Judiciários e 14 Oficiais de Justiça para o referido polo.""

Atenciosamente, 

Ouvidoria Geral da Justiça/CPSIC/TJPE 
(81) 3182-0638 


"	                                                                                                                                                                                         
026	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	07/06/2017	"Prezado Dr./a Ouvidor/a, boa tarde!
 
Gostaria de saber quantos processos com mulheres como vítimas de homicídio no período de 2015 até o momento existem no Estado de Pernambuco. Ou seja, quantos processos possuem mulheres no pólo passivo dos crimes de homicídio no Estado de Pernambuco? "	04/07/2017	"Informo que conforme consulta a base do JudWin 1º grau em 22/06/2017 foram identificados 1530 processos de homicídio (considerando os assuntos CNJ de códigos 11227, 10840, 11243, 12130, 12131, 3371, 9637, 11244, 10846, 3372, 9638, 10845, 3370, 9636) distribuídos entre 01/01/2015 e 22/06/2017.


"	                                                                                                                                                                                         
027	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	09/06/2017	"Prezado Dr./a Ouvidor/a, boa tarde!
 
Questionário sobre a utilização de assessorias para auxiliar na elaboração de minutas de decisão para os magistrados no ano de 2017: 
- O termo ?assessor? será utilizado para designar quem auxilia o magistrado na elaboração de minutas de decisão judicial
- Meta 1/2012 a 2017 CNJ: META 1 ? Julgar mais processos que os distribuídos (Todos os segmentos)


1 - Este Tribunal utiliza de serviços de assessorias para auxiliar os magistrados e elaborar minutas de decisões?

Sobre equipes de assessores de cada serventia (?judicial clerks?)

2 - Quantos assessores estão disponíveis para auxiliar cada magistrado elaborando minutas de decisão no 1º grau ?

3 - Quantos assessores estão disponíveis para auxiliar cada magistrado elaborando minutas de decisão no 2º grau ?

4 ? A quantidade de assessores é determinada pelo magistrado? 

5 ? A quantidade de assessores é fixa por serventia judicial? 

6 - A quantidade de assessores varia de acordo com o acervo de processos da serventia judicial? 6.1 No 1º grau, A quantidade de assessores é a mesma para o magistrado titular e para o substituto? 

Sobre equipes de assessores do Tribunal (?central staff attorney? ou ?força tarefa?)

7 - Este Tribunal utiliza de serviço central de assessoria que pode ser alocada para auxiliar os magistrados com maior acervo elaborando minutas de decisões?

8 - Quantos assessores estão disponíveis no órgão central para auxiliar os magistrados com maior acervo elaborando minutas de decisão ?

9 - Esta assessoria do órgão central fica alocada por quanto tempo em cada serventia judicial?

10 ? Esta assessoria do órgão central é permanente ? 

11 -  Esta assessoria do órgão central foi criada por um período determinado ?

Sobre o perfil das equipes de assessores:

12 - Os integrantes da equipe de assessores que auxiliam o magistrado na elaboração de minutas de decisão são selecionados pelo próprio magistrado?12.1 ? É realizado algum tipo de ?processo seletivo? (favor descrever)?  

13 - Esses assessores são ""gratificados"" (recebem Funções comissionadas"")?

14 - Os assessores são bacharéis em direito?

15 - Existem assessores elaborando minutas de decisão que não são bacharéis em direito (incluindo 1º e 2º graus)? 

16 - É possível que existam estagiários elaborando minutas de decisão neste tribunal (incluindo 1º e 2º graus)? 

17 - É possível que existam funcionários terceirizados elaborando minutas de decisão neste tribunal (incluindo 1º e 2º graus)? 

18 ? Existem assessores trabalhando em regime de teletrabalho (?home office?) no 1º grau ?

19 ? Existem assessores trabalhando em regime de teletrabalho (?home office?) no 2º grau ?


Sobre a gestão do cartório ( ou ?serventia?) 

20 ? Este tribunal tem procedimentos padronizados para gestão de cartórios judiciais? 

21? Esses procedimentos são de observância obrigatória pelos magistrados?

22 ? O magistrado tem autonomia para escolher método de trabalho?  

23 ? As cotas de ?produção? de minutas pelos assessores são estabelecidas pelo magistrado? 23.1 São diárias ou mensais? 

24 ? Quais as cotas em uso hoje no 1º grau (favor especificar, caso necessário)? 

25 - Quais as cotas em uso hoje no 2º grau (favor especificar, caso necessário)?

26 ? É utilizado o procedimento de triagem dos casos repetidos, ou ?casos fáceis??

27 ? Quais os critérios de triagem?

28 ? Os processos antigos têm prioridade sobre os casos novos?
 
29 ? No 1º grau , como é dividida a carga de trabalho entre o magistrado titular e o substituto? 

30 ? É utilizada ?técnica de gestão? que propicie um julgamento fora da ordem cronológica de conclusão (Art. 12, NCPC)? Qual técnica (favor descrever)?  
"	22/06/2017	"Prezado (a) Senhor (a),

Ref: Pedido de Informação nº 027/2017

Segue, abaixo, resposta encaminhada pela Assessoria Especial da Presidência deste TJPE  ao seu pedido de informação, com base na LAI, registrado neste Órgão sob número em epígrafe.

""Decisão 
Em cumprimento ao art. 7º, I, da Lei nº 12.527/2011, comunico que as informações solicitadas pelo Requerente estão disponibilizadas no Código de Organização Judiciária do Estado de Pernambuco (Lei Complementar nº 100, de 21 de novembro de 2007), assim como na Resolução 219 do CNJ e nas normas internas deste Tribunal, que estão disponibilizadas no site.""

Atenciosamente, 

Ouvidoria Geral da Justiça do Estado de Pernambuco/CPSIC
Tel.: (81) 3182-0638 



"	                                                                                                                                                                                         
028	Pedido de Informações	Em andamento	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	21/06/2017	"Prezado Dr./a Ouvidor/a, boa tarde!
 
Gostaria de saber se o TJPE aderiu às Diretrizes Nacionais do Feminicídio, elaboradas pela ONU Mulheres.
"		Em andamento	                                                                                                                                                                                         
